年龄,教育,工龄,地址,收入,负债率,信用卡负债,其他负债,违约
41,3,17,12,176,9.3,11.36,5.01,1
27,1,10,6,31,17.3,1.36,4,0
40,1,15,14,55,5.5,0.86,2.17,0
41,1,15,14,120,2.9,2.66,0.82,0
24,2,2,0,28,17.3,1.79,3.06,1
41,2,5,5,25,10.2,0.39,2.16,0
39,1,20,9,67,30.6,3.83,16.67,0
43,1,12,11,38,3.6,0.13,1.24,0
24,1,3,4,19,24.4,1.36,3.28,1
36,1,0,13,25,19.7,2.78,2.15,0
27,1,0,1,16,1.7,0.18,0.09,0
25,1,4,0,23,5.2,0.25,0.94,0
52,1,24,14,64,10,3.93,2.47,0
37,1,6,9,29,16.3,1.72,3.01,0
48,1,22,15,100,9.1,3.7,5.4,0
36,2,9,6,49,8.6,0.82,3.4,1
36,2,13,6,41,16.4,2.92,3.81,1
43,1,23,19,72,7.6,1.18,4.29,0
39,1,6,9,61,5.7,0.56,2.91,0
41,3,0,21,26,1.7,0.1,0.34,0
39,1,22,3,52,3.2,1.15,0.51,0
47,1,17,21,43,5.6,0.59,1.82,0
28,1,3,6,26,10,0.43,2.17,0
29,1,8,6,27,9.8,0.4,2.24,0
21,2,1,2,16,18,0.24,2.64,1
25,4,0,2,32,17.6,2.14,3.49,0
45,2,9,26,69,6.7,0.71,3.92,0
43,1,25,21,64,16.7,0.95,9.74,0
33,2,12,8,58,18.4,3.08,7.59,0
26,3,2,1,37,14.2,0.2,5.05,0
45,1,3,15,20,2.1,0.11,0.32,0
30,1,1,10,22,10.5,1.14,1.17,0
27,3,2,7,26,6,0.72,0.84,0
25,1,8,4,27,14.4,1.02,2.87,0
25,1,8,1,35,2.9,0.08,0.94,0
26,2,6,7,45,26,6.05,5.65,0
30,2,10,4,22,16.1,1.41,2.13,0
32,2,12,1,54,14.4,3.2,4.58,0
28,2,1,8,24,17.1,1.34,2.77,1
45,1,23,5,50,4.2,0.56,1.54,0
23,1,7,2,31,6.6,0.34,1.71,0
34,1,17,3,59,8,1.81,2.91,0
42,2,7,23,41,4.6,0.94,0.94,0
39,1,19,5,48,13.1,1.93,4.36,0
26,1,0,0,14,7.5,0.3,0.75,1
21,2,0,1,16,6.8,0.15,0.94,0
35,1,13,15,35,4.5,0.43,1.14,0
47,1,4,2,26,10.4,0.12,2.58,0
23,2,0,2,21,11.4,0.78,1.62,1
35,1,18,2,42,7.4,0.21,2.9,0
34,1,2,11,25,12.6,0.57,2.58,1
46,1,1,12,20,14,0.81,1.99,0
46,1,16,18,52,12.9,3.03,3.68,1
38,3,3,18,25,3.7,0.31,0.61,0
40,2,3,2,28,9.5,0.55,2.11,0
37,1,1,3,24,15.1,1.8,1.82,1
35,1,9,1,34,5,0.4,1.3,0
39,2,16,13,69,2.4,1.06,0.59,0
40,3,18,6,100,2.5,1.49,1.02,0
50,3,10,20,80,12.2,2.48,7.28,0
31,1,9,10,28,2.4,0.05,0.62,0
29,1,13,1,42,7.4,1.46,1.65,1
37,1,4,0,23,12.4,0.87,1.98,0
33,2,4,9,55,7,2.16,1.69,0
26,2,5,7,28,7.8,1.02,1.16,0
32,2,11,6,75,23.3,7.76,9.72,1
28,2,2,3,23,6.4,0.19,1.29,1
39,1,19,8,46,9.1,2.52,1.67,0
28,2,8,3,31,8.2,1.49,1.05,1
29,1,1,2,20,18.6,0.57,3.15,1
34,2,3,8,21,23.1,1.4,3.45,0
28,2,5,9,34,23.8,3.1,4.99,0
47,1,26,21,100,12.8,4.58,8.22,0
43,4,1,5,26,10.6,1.52,1.24,0
41,1,13,10,44,1.7,0.07,0.68,0
47,1,13,25,51,23.8,3.74,8.4,0
24,1,2,1,21,0.6,0.03,0.1,0
29,1,1,9,17,6.7,0.16,0.98,0
33,1,14,2,37,2.6,0.2,0.76,0
36,1,15,10,39,3.2,0.69,0.56,0
26,1,4,3,27,10.5,2.47,0.36,1
31,1,11,12,45,17,2.74,4.91,0
37,1,7,3,32,19.6,2.7,3.58,0
35,4,4,16,29,11,1.84,1.35,0
26,1,4,3,20,5.4,0.32,0.76,0
40,1,10,15,45,18.8,2.01,6.45,0
29,2,5,4,36,12.4,3.49,0.97,1
37,3,5,17,29,24.6,1.41,5.73,0
32,1,12,12,28,2.9,0.12,0.7,0
23,2,0,1,17,27.7,2.04,2.67,1
32,1,3,10,23,6.2,0.05,1.37,0
25,1,1,6,15,11.4,0.37,1.34,1
38,1,5,5,54,10.6,1.5,4.22,0
32,2,0,6,18,5.8,0.3,0.75,1
41,3,2,0,15,26.3,1.96,1.98,1
36,1,17,6,54,4.4,0.73,1.65,0
42,3,13,0,82,3.3,1.32,1.39,0
41,1,14,8,52,7.3,0.93,2.87,0
29,2,4,9,19,6.3,0.68,0.52,0
38,3,4,6,31,9.3,1.33,1.55,1
39,1,22,9,113,2.6,0.99,1.95,0
36,1,6,9,26,8.3,0.03,2.13,0
33,1,8,7,27,5.8,0.78,0.79,0
42,2,21,11,121,3.1,1.37,2.39,0
41,2,22,17,75,23.6,9.88,7.82,0
40,1,8,17,28,3.6,0.53,0.47,0
53,1,9,18,50,11.2,2.02,3.58,1
28,1,4,7,26,13.5,1.3,2.21,0
36,2,12,13,60,7.9,1.72,3.02,0
34,2,9,13,45,10.1,1.12,3.43,0
45,3,2,5,39,4.9,0.46,1.45,0
38,1,6,0,41,8.9,0.27,3.38,0
21,3,0,2,24,7.7,0.83,1.01,0
42,1,12,11,51,21.4,2.41,8.5,0
52,1,16,25,64,8.6,1.87,3.64,0
25,2,4,6,33,5.2,0.55,1.16,0
34,2,9,9,65,6.2,2.11,1.92,0
40,2,15,16,73,3.4,1.03,1.45,0
31,2,0,4,27,12.8,1.09,2.37,1
25,1,1,0,20,6.7,0.47,0.87,1
45,1,12,19,37,9.5,1.34,2.17,0
23,1,3,0,19,8.4,0.28,1.32,1
34,4,6,3,27,35.3,1.98,7.55,1
31,1,2,4,22,12.7,1.09,1.7,1
28,1,5,9,22,2.8,0.14,0.48,0
41,1,7,11,43,4.4,0.69,1.2,0
39,2,7,2,68,13,1.02,7.82,1
29,2,9,3,36,1.4,0.13,0.38,0
21,1,5,1,25,9,0.37,1.88,0
41,2,19,2,68,5.8,1.51,2.44,0
26,4,1,7,27,2.9,0.31,0.47,0
33,1,5,10,18,12.9,0.98,1.34,0
45,2,18,19,35,17.4,0.55,5.54,0
39,1,17,20,60,13.7,2.45,5.77,0
24,1,7,2,21,6.3,0.52,0.8,0
29,2,6,7,57,2.2,0.45,0.8,0
27,2,1,0,23,12.4,0.29,2.57,0
40,1,13,2,28,5.9,0.96,0.69,0
29,1,8,10,24,6.7,0.47,1.14,0
29,2,4,3,37,6.6,1.16,1.28,1
24,1,0,2,16,16,1.01,1.55,1
27,1,9,6,45,17.8,2.85,5.16,1
41,3,16,22,135,4.4,1.28,4.66,0
31,1,11,8,25,9.1,0.14,2.13,0
41,1,16,17,68,5.4,0.45,3.22,0
42,2,5,3,41,3.4,0.36,1.04,0
28,4,1,3,26,12.4,0.38,2.85,0
30,4,2,8,25,10,1.77,0.73,0
30,1,11,1,33,8.4,0.68,2.09,0
31,1,8,4,44,8,1.72,1.8,0
45,2,15,14,51,18.1,1.55,7.68,0
43,1,13,23,76,6.1,2.15,2.48,1
36,1,4,10,23,16.3,1.33,2.42,0
28,1,8,6,30,7.2,0.61,1.55,0
27,2,3,5,33,13.2,1.63,2.72,0
36,3,13,3,39,19.2,2.8,4.69,0
33,1,12,11,32,11.3,2.1,1.51,0
54,1,9,2,28,14.8,1.56,2.59,1
33,1,9,4,29,13.8,1.35,2.65,1
31,1,9,5,26,4.5,0.31,0.86,0
21,1,4,0,26,8.9,1.42,0.89,0
28,3,5,9,44,8.7,0.77,3.05,0
31,2,2,1,26,6.8,0.28,1.49,1
32,1,8,6,26,4.1,0.33,0.74,0
35,2,1,8,24,12.5,0.59,2.41,1
40,2,13,11,102,18.9,6.23,13.05,1
22,1,4,2,24,15.6,1.64,2.11,1
39,1,4,9,38,6.5,1.18,1.29,0
41,4,14,3,44,1.7,0.35,0.39,0
34,1,16,9,79,4,1.73,1.43,0
29,1,7,9,22,9.7,0.55,1.58,0
31,1,4,10,28,11.3,0.29,2.87,0
32,1,1,0,20,4.8,0.31,0.65,1
32,1,14,7,73,8.8,3.75,2.67,0
33,1,6,14,21,7.5,0.57,1.01,0
26,1,6,0,22,10.3,0.72,1.55,0
21,1,1,1,18,17.3,0.16,2.96,0
28,2,7,2,34,7,0.36,2.02,0
37,1,13,5,24,8.9,0.6,1.53,0
33,2,2,14,35,22.9,2.12,5.89,1
39,1,12,10,46,5,0.56,1.74,0
40,2,8,19,57,5.6,0.88,2.31,0
45,3,16,21,80,3,0.91,1.49,0
27,1,10,6,34,6.5,0.85,1.36,0
28,4,0,7,29,24.2,1.42,5.59,0
39,1,13,9,27,8,0.97,1.19,0
40,1,14,21,43,15,2.79,3.66,1
27,1,11,8,56,16.9,4.64,4.83,0
36,1,1,4,16,9.3,0.43,1.05,0
55,1,19,2,78,15.6,4.4,7.76,0
27,2,4,3,22,13.2,1.09,1.82,1
30,1,1,8,17,11,0.75,1.12,0
36,1,10,0,28,11.2,0.82,2.32,1
31,1,1,6,21,2.5,0.28,0.25,1
33,2,13,2,40,7.2,0.18,2.7,0
30,1,4,0,33,4.2,0.5,0.89,0
24,1,1,0,18,5.9,0.24,0.82,1
33,4,9,10,28,4.3,0.38,0.83,0
50,1,8,27,47,6.9,0.4,2.84,0
31,2,6,6,32,23.1,3.34,4.05,1
28,1,3,7,19,4.1,0.26,0.52,0
44,3,8,10,88,6.1,0.28,5.08,1
48,4,3,23,45,9.8,0.97,3.44,0
36,2,0,17,30,9.7,0.33,2.58,0
29,3,7,1,63,5.5,0.57,2.89,0
40,3,17,11,116,6,2.56,4.4,0
33,1,7,6,26,6,0.54,1.02,0
26,2,6,6,30,1,0.14,0.16,0
36,1,14,11,81,7.2,1.78,4.05,0
26,2,6,0,35,1.9,0.09,0.58,0
40,3,16,6,116,12.1,1.61,12.42,0
44,1,5,3,48,9,1.97,2.35,1
29,3,1,10,30,4.5,0.28,1.07,0
35,3,5,3,37,5.4,0.58,1.42,1
34,1,16,3,75,10.4,3.95,3.85,0
34,3,12,8,47,6.7,1.3,1.85,0
46,1,14,25,35,10.2,1.35,2.22,0
41,2,21,22,145,12.2,3.24,14.45,0
27,2,7,8,30,4,0.45,0.75,1
27,4,0,6,70,8,1.62,3.98,1
28,1,11,6,24,2.4,0.11,0.47,0
48,3,0,27,19,10.8,0.85,1.2,0
48,3,17,26,113,12,3.38,10.18,0
29,3,5,6,70,19.9,3.18,10.75,1
43,2,9,5,60,20.4,4.04,8.2,1
23,1,5,2,17,7.9,0.3,1.04,0
29,2,10,8,44,18.1,3.7,4.26,0
40,4,5,6,75,1.9,0.88,0.54,0
22,2,0,3,20,5.6,0.21,0.91,0
23,1,7,3,22,14.4,0.85,2.32,0
46,3,9,10,60,15.3,1.61,7.57,0
55,1,3,11,40,8,0.56,2.64,1
38,2,8,16,38,0.6,0.03,0.2,0
35,2,5,1,33,2.8,0.1,0.82,0
30,1,11,9,27,0.9,0.07,0.17,0
24,1,7,0,18,6.5,0.53,0.64,0
26,2,4,3,28,9.5,0.23,2.43,0
32,2,2,11,15,9.1,0.12,1.25,1
37,2,11,4,75,3.5,0.63,1.99,0
39,1,6,19,42,19.9,2.54,5.82,1
30,2,4,4,21,18.3,0.49,3.35,0
30,1,10,11,39,9.5,2.06,1.65,0
32,2,7,10,32,4.3,0.43,0.94,0
54,3,21,20,118,14.4,9.6,7.39,0
27,3,3,4,35,13.3,1.6,3.05,0
31,1,12,4,31,23.7,2.06,5.29,0
39,1,15,16,39,1.8,0.14,0.56,0
31,1,5,3,25,14.1,1.18,2.35,0
35,1,15,11,40,18.5,1.21,6.19,0
35,2,10,16,98,13.3,4.87,8.16,0
46,2,22,17,144,11.1,3.32,12.66,0
33,1,13,3,52,21.3,2.71,8.36,1
35,2,13,3,105,1.9,1.42,0.58,0
35,2,1,1,21,7.9,0.37,1.29,0
38,1,5,13,21,9,0.45,1.44,0
41,1,19,1,96,7.8,2.25,5.23,0
38,1,18,19,44,4.5,0.61,1.37,0
34,3,2,14,39,13.2,1.14,4.01,0
51,3,16,25,82,4.4,2.6,1,0
34,2,10,2,33,9.5,0.57,2.56,0
47,1,15,1,30,24.5,2.21,5.14,0
34,2,8,6,78,5.4,2.16,2.06,0
27,2,8,7,18,11.9,0.4,1.74,0
52,1,9,11,24,19.2,0.8,3.81,1
39,1,9,6,35,5,0.23,1.52,0
33,1,7,0,22,6.4,0.63,0.78,0
34,1,0,1,21,7.2,0.19,1.32,0
31,3,9,7,59,14.6,3.11,5.5,1
28,1,2,9,16,15.2,0.87,1.56,0
39,1,19,16,45,3.7,0.92,0.75,0
51,2,22,23,120,7.6,4.14,4.98,0
22,1,4,1,16,1.2,0.08,0.11,0
27,3,6,4,26,10.4,0.93,1.77,0
32,1,16,10,38,21,0.69,7.29,0
28,2,6,7,38,7.2,0.77,1.96,0
27,2,1,0,20,10.3,0.38,1.68,1
26,2,2,6,24,13.6,1.58,1.69,1
32,1,14,0,36,2.4,0.27,0.59,0
30,1,0,11,17,3.7,0.45,0.18,1
39,1,13,1,38,8.9,1.9,1.48,0
31,1,11,6,28,4.8,0.35,1,1
34,1,15,2,39,24.7,4.37,5.26,1
31,1,8,3,41,12.6,0.13,5.03,0
29,2,1,7,25,10.4,0.57,2.03,0
29,1,9,0,25,13.9,1.07,2.4,0
35,2,9,16,30,7.6,0.65,1.63,0
29,1,11,7,32,6,0.93,0.99,0
38,2,2,16,22,22.7,1.21,3.79,1
35,1,16,15,36,3.4,0.18,1.05,0
29,1,11,5,36,6.1,0.71,1.49,0
23,2,3,4,34,4.4,0.26,1.23,0
33,4,9,8,32,5.5,0.5,1.26,0
51,2,19,25,159,2.8,1.07,3.38,0
24,1,4,2,21,2.6,0.1,0.45,0
31,1,10,12,49,9.8,3.24,1.57,1
45,1,10,14,52,5.4,0.93,1.88,0
29,1,3,1,17,9,0.47,1.06,0
34,1,0,10,20,17.1,2.05,1.37,0
25,2,4,5,27,5,0.55,0.8,1
37,1,20,2,56,1.9,0.54,0.52,0
47,1,29,18,129,25.3,20.56,12.08,1
43,2,6,24,54,9.6,0.62,4.56,0
47,1,22,19,81,5.5,1.51,2.95,0
24,1,6,2,21,5.2,0.11,0.98,0
27,3,5,1,75,6.3,2.21,2.52,0
25,1,9,4,18,1.2,0.07,0.15,0
36,3,11,12,44,14.7,0.45,6.02,0
39,1,16,20,57,19.4,1.56,9.5,0
26,1,10,1,25,7.1,1.31,0.47,0
41,1,4,19,25,10.1,1.06,1.46,0
39,1,19,15,60,27.1,9.59,6.67,1
37,1,18,8,54,12.1,4.59,1.94,0
29,1,2,0,14,14.4,0.59,1.43,1
42,1,6,9,31,11.6,1.02,2.57,0
31,4,1,6,29,11.1,1.07,2.15,0
36,1,4,15,17,17.3,0.52,2.42,0
39,1,16,4,52,20,4.16,6.24,0
23,4,0,2,23,6.7,0.47,1.07,0
39,1,4,15,33,7,0.4,1.91,0
27,3,4,1,40,3.1,0.28,0.96,1
24,1,8,4,24,5,0.38,0.82,0
27,3,3,4,45,11,0.29,4.66,1
41,1,16,22,49,1.6,0.43,0.35,0
38,1,0,8,23,8.1,0.9,0.97,1
40,2,5,12,35,16.4,1.58,4.16,1
54,1,25,12,120,26.5,14.6,17.2,1
40,1,12,6,89,17.4,2.77,12.71,0
40,1,2,4,32,3.7,0.85,0.33,0
29,1,1,8,31,8,0.16,2.32,0
30,1,8,6,23,12,0.76,2,0
29,1,1,1,18,1.1,0.03,0.17,0
29,3,3,3,50,2.4,0.26,0.94,1
28,4,2,4,41,2.5,0.46,0.57,1
28,4,0,5,38,10.4,0.64,3.32,0
39,2,16,9,89,14.3,5,7.73,0
32,1,11,2,53,3.3,0.09,1.66,0
36,2,7,16,43,15.4,2.65,3.97,0
39,1,20,12,39,8.2,0.77,2.42,0
28,3,6,8,47,19.8,5.57,3.73,1
28,1,4,2,28,14.2,0.44,3.54,1
46,1,6,19,31,12.2,1.99,1.8,0
30,2,4,8,15,6.5,0.35,0.62,0
39,2,15,19,32,4.9,0.42,1.15,0
40,3,5,3,220,16,8.17,27.03,1
44,2,18,4,74,13.4,4.52,5.39,0
30,1,0,8,19,16.6,0.62,2.53,1
24,2,3,0,19,4.3,0.36,0.46,0
32,1,10,13,32,11.3,1.17,2.45,0
29,2,3,8,15,2.6,0.15,0.24,0
40,2,2,1,36,3.8,0.28,1.09,0
