年龄,教育,工龄,地址,收入,负债率,信用卡负债,其他负债,违约
41,2,8,21,43,0.7,0.09,0.22,0
22,1,1,3,17,18.6,0.81,2.36,0
38,1,10,8,34,1.2,0.04,0.37,0
37,2,6,13,62,8.5,1.19,4.08,0
41,3,18,6,71,15.7,6.57,4.58,1
41,3,7,6,56,14.5,0.37,7.75,1
39,1,2,15,22,23.1,1.92,3.17,1
24,2,0,2,15,16.1,0.32,2.09,1
32,3,9,10,51,23,2.69,9.04,0
21,3,0,1,26,7.7,1.53,0.47,0
29,1,13,7,27,2.3,0.07,0.55,0
35,2,14,3,82,0.8,0.47,0.19,0
29,1,6,7,21,18.1,1.11,2.69,0
41,2,2,22,30,6.7,0.11,1.9,0
37,1,0,18,18,12.9,1.58,0.74,1
32,2,3,13,47,1.9,0.43,0.46,0
36,5,5,12,20,8.1,0.73,0.89,0
39,2,18,9,44,2.1,0.37,0.56,0
36,1,18,9,67,11.2,5.25,2.26,0
46,3,22,4,99,2.3,0.83,1.45,0
34,1,13,11,51,9.6,1.88,3.02,0
27,1,7,4,26,9.1,0.64,1.72,0
43,1,8,11,45,3.3,0.68,0.81,0
33,1,14,8,72,41.3,15.02,14.72,1
39,2,20,17,101,1.4,0.34,1.07,0
29,1,1,4,17,2.5,0.13,0.29,0
34,4,7,15,40,6.4,0.95,1.61,0
26,1,1,0,21,4.9,0.61,0.42,0
31,1,15,2,60,4.8,0.8,2.08,0
26,1,10,6,24,2.7,0.31,0.34,0
28,1,12,7,45,7.7,1.85,1.61,0
48,1,13,20,50,30.8,6.11,9.29,1
39,2,2,12,46,16,4,3.36,1
37,1,3,3,25,3.7,0.28,0.65,0
52,5,9,0,70,9.4,1.33,5.25,1
48,1,3,11,27,21.3,1.4,4.35,0
26,1,7,3,22,5.1,0.21,0.91,0
46,5,15,0,126,3.1,0.48,3.43,0
31,1,7,10,23,4.9,0.23,0.9,0
34,1,13,8,56,6.1,0.86,2.55,0
40,1,22,4,95,3.6,0.63,2.79,0
24,3,2,5,16,6.4,0.27,0.75,1
33,1,2,14,44,3.1,0.53,0.84,0
53,4,5,29,78,17.3,6.94,6.56,1
47,3,9,1,52,20.1,2.54,7.91,1
35,1,5,5,32,13,0.17,3.99,0
34,1,14,8,28,17,1.14,3.62,0
49,1,11,5,39,10.1,2.46,1.48,0
26,2,0,7,28,9.3,1.27,1.33,0
23,1,2,2,16,9.6,0.8,0.73,1
23,2,0,4,21,8.7,0.45,1.37,0
38,2,4,13,56,1.6,0.44,0.45,0
28,2,5,2,37,8.3,1.12,1.95,0
30,3,0,8,65,29.7,3.9,15.41,1
34,1,18,10,34,15.4,2.1,3.14,0
50,2,16,14,71,11.1,1.66,6.22,0
29,1,12,2,40,6.7,1.63,1.05,0
42,3,0,9,64,6.6,0.28,3.95,0
31,1,13,12,27,5,0.24,1.11,0
39,1,10,4,31,4.8,0.18,1.3,0
45,2,21,26,132,3,2.56,1.4,0
45,1,22,24,91,11.7,1.26,9.39,0
36,1,14,17,53,5.7,1.89,1.13,0
25,4,0,6,24,12.1,1.6,1.31,1
29,2,1,7,29,21.2,2.33,3.82,1
30,2,8,4,56,6.4,0.33,3.25,0
31,1,1,1,24,4.5,0.22,0.86,0
43,1,4,2,29,4.6,0.05,1.28,0
32,2,11,4,57,23.8,5.44,8.13,1
47,1,19,7,50,30.1,3.18,11.87,0
46,1,1,15,21,14.8,1.38,1.73,1
43,2,16,10,83,4.1,0.26,3.14,0
48,1,3,7,24,7,0.76,0.92,0
30,3,8,7,61,2.8,0.55,1.16,0
23,4,0,4,32,18.4,0.82,5.07,1
36,4,8,0,32,1.6,0.02,0.49,0
20,3,0,1,17,2.3,0.04,0.35,0
43,1,16,7,89,0.4,0.16,0.2,0
23,1,2,1,25,4.5,0.12,1,1
41,1,21,2,76,20.5,6.95,8.63,0
34,1,12,5,68,25.1,7.82,9.25,1
50,1,11,5,36,4.8,0.83,0.89,0
40,1,9,4,64,6.6,0.79,3.43,0
29,2,0,8,22,12.9,1.04,1.8,1
39,2,9,16,56,18.7,4.76,5.71,0
24,2,1,2,42,5.7,0.84,1.56,0
27,1,0,5,16,1.1,0.13,0.05,0
40,3,18,14,157,6.6,3.33,7.04,0
32,2,8,2,45,3.7,0.98,0.68,0
39,2,16,12,53,3.7,0.69,1.27,0
40,1,22,1,100,14.6,5.4,9.2,0
32,1,10,11,42,9.1,1.54,2.28,0
39,1,23,1,75,18.9,3.13,11.04,0
24,1,3,3,21,28.9,2.68,3.39,1
43,4,18,14,446,6.5,16.03,12.96,1
56,1,11,20,59,15,4.67,4.18,0
32,3,5,9,23,4.5,0.33,0.71,0
42,1,7,12,25,10.2,1.63,0.92,0
46,3,3,13,43,13.2,3.04,2.63,1
31,1,2,2,22,16.4,1.74,1.87,1
43,1,25,16,242,2.6,1.64,4.66,0
28,2,6,9,22,11.5,0.65,1.88,0
39,3,11,17,39,12.9,2.56,2.47,0
39,1,0,8,39,7.9,1.07,2.01,0
37,4,1,14,33,16.1,2.69,2.62,1
30,1,0,11,17,12,0.3,1.74,0
37,5,9,16,177,5.9,0.89,9.56,0
22,1,4,3,14,17.5,0.23,2.22,0
50,1,1,26,26,14.3,1.85,1.87,0
30,1,10,2,19,4.4,0.34,0.5,0
39,1,8,0,21,4,0.28,0.56,0
21,2,0,2,21,12.5,0.49,2.14,1
31,3,9,2,28,2.6,0.12,0.61,0
31,2,9,1,30,5.8,0.6,1.14,0
48,1,0,23,30,22.3,2.66,4.03,0
28,1,4,1,16,23.8,1.09,2.72,0
47,3,16,26,221,17.6,15.79,23.1,1
27,2,6,1,34,4.4,0.24,1.26,0
29,2,6,10,65,18.4,1.99,9.97,0
21,2,2,0,20,4.5,0.29,0.61,1
29,1,7,5,20,19.8,1.01,2.95,1
24,4,0,3,29,6.6,0.59,1.32,1
44,1,12,3,31,9.7,0.36,2.65,0
22,1,1,0,18,4.4,0.27,0.52,0
38,2,13,0,59,2.4,0.41,1.01,0
52,2,12,16,76,7.7,0.99,4.86,0
25,1,3,2,18,16.3,0.35,2.58,1
25,1,5,5,22,10.9,0.4,2,0
51,2,27,21,166,11.5,0.82,18.27,0
38,1,21,16,58,16.5,4.58,4.99,0
44,1,9,20,33,5.2,0.55,1.17,0
24,2,2,3,26,9.7,0.89,1.63,1
34,1,5,3,33,7.3,0.78,1.63,0
25,2,6,2,26,4.5,0.07,1.1,0
45,3,5,17,94,10.5,3.61,6.26,1
34,2,4,10,25,5.8,0.57,0.88,0
27,4,2,8,23,5.7,0.32,0.99,1
33,2,10,13,57,20.9,6.11,5.8,1
35,2,0,16,22,15,1.97,1.33,1
50,2,15,31,60,1.1,0.47,0.19,0
33,1,13,13,42,3.6,0.23,1.28,0
41,3,13,13,91,25.2,2.32,20.62,1
28,1,0,2,28,33.3,2.28,7.04,1
38,3,12,14,63,16,5.72,4.36,1
25,1,3,2,16,17.8,1.01,1.84,1
47,2,4,9,33,7.1,1.19,1.15,1
30,2,12,9,98,7.2,2.94,4.12,0
44,2,12,5,86,13,1.48,9.7,0
25,1,0,2,18,18.9,0.51,2.89,1
41,2,6,0,36,19.5,4.51,2.51,1
22,3,0,1,18,7.7,0.48,0.91,0
35,2,3,11,40,17.2,1.8,5.08,1
42,5,6,23,190,7.8,3.16,11.66,0
38,1,3,19,23,14.7,0.83,2.55,0
23,2,1,3,18,18.7,0.89,2.48,1
28,3,2,5,30,19.9,1.52,4.45,0
52,1,19,25,89,4.7,0.4,3.79,0
25,1,9,2,20,3.5,0.11,0.6,0
28,2,1,4,16,14.7,0.57,1.78,0
43,1,19,11,79,7.5,0.78,5.14,0
24,2,3,1,24,19.1,2.17,2.41,0
34,3,13,7,52,9.2,1.5,3.29,0
29,2,6,9,25,4.2,0.58,0.47,0
31,1,6,9,21,8.3,0.73,1.01,0
42,2,14,1,48,8.6,1.2,2.93,1
49,2,11,1,51,15,0.54,7.11,0
39,1,22,9,73,14.3,3.73,6.71,0
45,3,0,19,22,4.2,0.03,0.89,0
41,1,7,22,32,2.9,0.07,0.86,0
29,2,9,0,46,1.6,0.24,0.49,0
35,3,7,5,38,15.1,1.38,4.36,0
27,2,5,6,25,6.8,0.71,0.99,0
28,1,4,7,19,4.1,0.29,0.49,0
48,1,17,22,66,3.2,1.47,0.64,0
24,1,2,5,18,6,0.53,0.55,0
31,1,6,12,33,4.2,0.15,1.24,0
43,1,10,9,69,6.4,0.41,4.01,0
42,1,3,10,24,10.6,0.67,1.88,0
51,2,31,14,249,7.8,4.27,15.15,0
22,1,4,3,19,23.1,1.89,2.5,1
37,1,6,10,31,11.7,1.7,1.93,1
22,3,1,3,25,13.8,1.98,1.47,1
49,2,2,13,20,16.9,0.38,3,1
29,1,9,8,30,8.2,0.15,2.31,0
42,1,2,16,30,9.7,1.47,1.44,0
34,1,15,0,67,13.2,3.74,5.1,0
34,2,9,7,27,1.7,0.3,0.16,0
32,2,5,5,43,15,1.81,4.64,1
42,2,18,23,66,9.6,1.64,4.69,0
24,1,3,0,14,16.1,0.84,1.42,1
34,1,16,9,48,7.6,1.47,2.17,0
26,1,10,2,32,4.7,0.13,1.38,0
30,2,12,9,68,20.1,2.86,10.81,0
32,1,4,3,16,28.5,0.89,3.67,1
38,3,13,18,25,5.7,0.34,1.08,0
43,2,10,24,37,8.5,0.68,2.47,0
31,2,9,8,53,13.5,1.19,5.96,0
37,4,10,18,123,17.3,3.02,18.26,0
37,2,4,11,20,21.7,0.17,4.17,1
41,3,12,11,86,26.5,4.99,17.8,1
32,1,0,4,20,3,0.26,0.34,1
22,2,0,1,35,9,0.78,2.37,1
32,2,12,3,63,18.2,5.55,5.92,0
47,2,17,23,41,9.5,0.46,3.44,0
40,1,21,21,46,6.2,0.97,1.89,0
31,1,8,1,22,6.7,0.37,1.1,0
34,3,7,0,27,2.2,0.13,0.47,0
52,4,13,17,234,7.7,7.39,10.63,0
28,1,2,2,17,2.5,0.2,0.23,1
38,3,15,18,63,13.4,5.09,3.35,0
33,2,10,4,26,3.1,0.03,0.78,0
39,2,9,12,32,6.6,1.43,0.68,0
47,3,23,11,115,4,0.65,3.95,0
36,2,11,8,49,1.3,0.27,0.36,0
29,3,7,2,84,13.6,6.91,4.51,1
48,4,14,10,59,16.5,4.94,4.8,1
38,3,12,18,64,5.8,0.89,2.82,0
46,2,9,26,15,4.3,0.01,0.63,0
27,3,5,4,42,19.9,2.71,5.65,1
54,1,18,34,114,8.5,3.29,6.4,0
27,4,0,0,25,12.7,1.42,1.76,1
23,1,1,0,17,1.6,0.01,0.26,0
41,1,23,2,91,13.7,0.57,11.89,0
24,1,3,5,15,11.3,0.07,1.62,1
28,1,9,0,22,27.7,5.28,0.81,1
26,1,0,0,14,10.5,0.26,1.21,0
24,1,8,0,17,5.6,0.57,0.38,1
49,2,22,4,79,7.3,0.29,5.48,0
28,2,3,1,36,8.6,0.38,2.71,0
38,1,6,17,18,13,0.13,2.21,0
33,2,2,9,37,4.5,0.83,0.83,0
26,1,8,4,25,4.7,0.21,0.96,0
36,1,9,1,40,9.8,1.98,1.94,0
37,3,16,14,50,36.6,7.32,10.98,1
25,4,0,1,18,33.4,2.8,3.21,1
29,1,9,2,33,4.8,0.69,0.89,0
27,2,8,4,38,6.9,0.36,2.26,0
45,1,17,0,62,15,2.44,6.86,0
37,1,9,8,57,5.5,1.36,1.78,0
29,2,3,6,26,6.1,0.54,1.05,1
51,1,10,1,44,13.2,4.96,0.85,1
22,3,0,0,23,8.4,0.37,1.56,1
30,4,7,10,30,15.7,0.26,4.45,0
31,1,7,2,20,12.3,0.11,2.35,0
28,1,2,0,18,14.8,1.94,0.72,1
35,1,10,16,39,5.7,0.22,2.01,0
25,4,1,1,34,8.5,0.13,2.76,1
32,2,5,0,28,14.8,2.59,1.55,1
33,1,2,10,24,9.6,1.04,1.26,0
28,2,3,4,41,25.1,5.9,4.39,1
46,3,4,17,73,5.4,2.22,1.72,0
41,1,24,12,83,14,6.59,5.03,0
42,2,11,5,73,6.8,2.87,2.09,0
41,4,9,13,47,5,0.44,1.91,0
26,1,3,5,29,25.7,2.53,4.93,1
47,1,27,8,113,9.2,2.38,8.02,0
29,1,1,3,18,25.6,1.98,2.63,1
34,1,3,14,36,4.7,0.62,1.07,0
36,1,7,2,43,6.2,1.04,1.63,0
38,2,7,4,64,3,0.65,1.27,0
41,2,4,14,26,19.2,1.47,3.52,1
46,1,9,23,31,13.8,1.62,2.66,0
40,3,3,15,55,16.5,1.75,7.32,1
44,2,17,0,129,2.5,0.55,2.67,0
35,3,10,15,39,10.4,1.6,2.45,0
36,1,20,15,60,5.4,1.06,2.18,0
28,2,0,3,30,4.8,0.12,1.32,1
29,2,6,7,18,5.1,0.45,0.47,1
23,2,3,3,22,11.4,1.27,1.23,1
41,2,7,17,63,15.4,4.64,5.06,0
25,1,1,1,19,6.9,0.19,1.12,0
45,2,2,19,29,5.4,0.44,1.12,0
48,2,30,14,148,7.2,3.97,6.68,0
38,1,18,7,45,7,0.54,2.61,0
29,1,6,4,46,5.4,1.17,1.31,0
42,4,15,8,186,3.6,2.4,4.29,0
31,1,11,12,47,10.9,2.86,2.26,0
40,1,3,13,23,6.9,0.41,1.18,0
26,1,2,6,21,19.8,1.02,3.14,0
25,1,6,6,22,20.2,2.26,2.18,0
53,4,7,11,61,7.9,1.87,2.94,0
50,3,18,27,102,14.1,5.78,8.6,0
47,1,31,9,136,23.1,14.23,17.18,1
23,1,1,0,21,8.4,1.21,0.55,1
37,3,12,8,83,4.1,0.32,3.08,0
41,1,24,15,100,11.5,5.06,6.44,0
28,2,0,7,29,13.3,2.15,1.71,1
31,1,7,11,41,30.7,3,9.59,1
41,2,6,1,19,6.3,0.12,1.07,0
36,1,7,17,40,9.9,1.69,2.27,0
41,1,1,16,19,4.4,0.24,0.59,0
53,2,16,31,44,5.6,1.33,1.13,0
31,2,6,5,25,11.5,2.33,0.54,0
28,2,5,6,25,2.9,0.34,0.39,0
48,1,28,25,70,12,4.33,4.07,0
23,2,0,1,42,3.9,1.02,0.62,1
31,1,11,6,34,6.8,0.3,2.01,0
27,1,6,6,43,4.9,0.88,1.22,0
43,1,11,17,37,1.3,0.18,0.3,0
29,2,5,7,28,18.7,2.13,3.11,0
53,1,6,7,27,6.4,0.59,1.13,1
38,1,4,9,19,13.6,1.25,1.34,0
30,1,12,10,38,8.5,0.17,3.06,0
28,3,2,0,20,9.4,0.23,1.65,1
36,1,11,2,33,32.5,1.27,9.46,0
48,1,15,5,60,2.1,0.32,0.94,0
31,1,12,9,24,6.6,0.44,1.14,0
35,1,16,10,57,10.5,1.14,4.84,0
50,1,4,4,23,12.5,0.14,2.73,0
42,2,12,9,55,15,2.53,5.72,0
40,1,2,3,28,7.1,0.18,1.8,0
37,2,0,13,31,0.9,0.12,0.16,1
31,3,6,8,54,2.8,0.4,1.11,0
38,1,11,13,35,8,1.27,1.53,0
35,1,15,1,77,10.6,5.5,2.66,0
44,1,24,10,101,5.6,2.99,2.66,0
44,2,21,14,113,13.2,3.19,11.72,0
33,1,0,12,23,0.9,0.08,0.13,0
35,1,7,14,29,4.9,0.26,1.16,0
36,3,10,4,43,13,0.96,4.63,0
23,2,3,4,24,6.3,0.55,0.96,0
27,1,0,7,18,12.8,0.58,1.72,0
34,1,6,1,20,1.2,0.04,0.2,0
35,1,0,5,34,11.1,1.37,2.4,1
24,2,4,4,20,3.7,0.32,0.42,0
48,1,30,8,101,6.4,1.87,4.59,0
26,2,8,1,40,11.8,0.44,4.28,0
40,1,6,9,36,2.1,0.39,0.37,1
34,1,9,8,48,9.3,0.42,4.04,0
35,1,17,4,42,3,0.09,1.17,0
30,1,7,2,33,25.4,1.17,7.22,1
20,1,4,0,14,9.7,0.2,1.16,1
36,4,1,17,30,11.5,0.32,3.13,0
21,1,1,1,16,6.3,0.14,0.87,0
34,1,18,10,53,10.5,0.84,4.72,0
35,1,7,5,39,16.1,1.7,4.58,1
35,3,1,4,20,7.9,0.85,0.73,0
34,1,10,1,33,10.3,2.5,0.9,1
33,1,12,12,68,10.8,1.37,5.98,0
30,1,4,2,18,10.7,0.23,1.7,0
24,2,0,5,16,7.3,0.02,1.14,0
47,1,31,8,253,7.2,9.31,8.91,0
53,1,0,26,27,28.9,2.75,5.05,1
22,3,0,2,20,4.7,0.22,0.72,0
48,2,6,1,66,12.1,2.32,5.67,0
36,2,6,15,27,4.6,0.26,0.98,1
29,2,6,4,21,11.5,0.37,2.05,0
33,1,15,3,32,7.6,0.49,1.94,0
45,1,19,22,77,8.4,2.3,4.17,0
37,1,12,14,44,14.7,2.99,3.47,0
