,date,PM,TASMAX,TASAVG,TASMIN,DPMAX,DPAVG,DPMIN,RHMAX,RHAVG,RHMIN,sfcWindMAX,sfcWindAVG,sfcWindMIN,PSLMAX,PSLAVG,PSLMIN,PRCPAVG
1,2017/12/02,46.18333333,5.556,4.4448,2.778,7.2228,5.0004,2.778,100,92.5,85,20.92142,10.46071,0,1017.271155,1012.699531,1008.127906,3.048
2,2017/12/03,45.1525,8.334,5.556,2.778,7.2228,5.0004,2.778,100,90.5,81,19.31208,9.65604,0,1020.657544,1016.424558,1012.191572,3.048
3,2017/12/04,20.62791667,0.5556,-1.1112,-2.2224,2.2224,-1.1112,-7.2228,100,84.5,69,27.35878,13.67939,0,1026.753044,1022.858697,1018.96435,1.016
4,2017/12/05,14.08791667,2.2224,-1.1112,-5.0004,1.1112,-3.8892,-7.2228,93,80,67,27.35878,14.48406,1.60934,1030.81671,1027.430321,1024.043933,0
5,2017/12/06,17.10608696,5.0004,1.6668,-1.6668,2.2224,-1.6668,-6.1116,93,65.5,38,24.1401,13.67939,3.21868,1030.81671,1028.446238,1026.075766,0
6,2017/12/07,35.59583333,11.112,4.4448,-2.778,1.1112,-1.6668,-5.556,100,62.5,25,20.92142,10.46071,0,1029.800794,1027.430321,1025.059849,0
7,2017/12/08,113.1616667,10.0008,2.778,-4.4448,10.0008,3.3336,-7.2228,100,68,36,28.96812,14.48406,0,1028.446238,1022.350738,1016.255239,0
8,2017/12/09,73.48625,15.0012,5.0004,-5.0004,1.1112,-2.2224,-6.1116,100,60,20,35.40548,17.70274,0,1019.302989,1011.175656,1003.048323,0
9,2017/12/10,31.78458333,0.5556,-3.3336,-7.2228,1.1112,-4.4448,-8.8896,100,72.5,45,53.10822,26.55411,0,1022.0121,1012.530211,1003.048323,0.508
10,2017/12/11,99.69391304,2.778,-3.3336,-8.8896,-2.2224,-5.556,-10.0008,100,79,58,11.26538,5.63269,0,1022.350738,1019.302989,1016.255239,0
11,2017/12/12,42.955,10.5564,3.3336,-4.4448,3.8892,-1.6668,-7.2228,100,70,40,12.87472,7.24203,1.60934,1020.996183,1019.133669,1017.271155,0
12,2017/12/13,74.93869565,10.0008,4.4448,-1.1112,6.1116,2.2224,-2.2224,100,78.5,57,11.26538,5.63269,0,1021.334822,1017.779114,1014.223406,0
13,2017/12/14,38.14391304,13.89,7.2228,0.5556,7.7784,3.8892,-0.5556,100,69.5,39,20.92142,10.46071,0,1014.562045,1012.86885,1011.175656,0
14,2017/12/15,52.93391304,8.8896,4.4448,-0.5556,5.0004,1.1112,-1.1112,100,73.5,47,19.31208,9.65604,0,1015.577961,1010.837017,1006.096073,0
15,2017/12/16,14.43565217,17.2236,11.112,5.0004,8.8896,3.8892,1.1112,100,63.5,27,41.84284,24.1401,6.43736,1009.482462,1005.757434,1002.032406,0.254
16,2017/12/17,12.47913043,2.778,1.1112,0,5.0004,2.2224,-0.5556,100,93,86,24.1401,15.28873,6.43736,1016.932517,1013.03817,1009.143823,8.89
17,2017/12/18,22.21043478,0.5556,0,-1.1112,-1.1112,-2.2224,-5.0004,93,80,67,28.96812,16.0934,3.21868,1022.350738,1019.302989,1016.255239,0.508
18,2017/12/19,28.63782609,0,-1.1112,-3.3336,0,-3.3336,-6.1116,100,82,64,25.74944,16.0934,6.43736,1030.81671,1024.89053,1018.96435,0
19,2017/12/20,21.72066667,-1.6668,-3.3336,-4.4448,-3.8892,-6.1116,-7.7784,86,74.5,63,20.92142,12.07005,3.21868,1033.525821,1030.81671,1028.107599,0
20,2017/12/21,27.00304348,-0.5556,-2.2224,-4.4448,-4.4448,-7.2228,-8.8896,80,69.5,59,22.53076,11.26538,0,1034.541738,1031.832627,1029.123516,0
21,2017/12/22,33.32409091,0,-4.4448,-9.4452,-2.2224,-6.1116,-10.0008,93,75.5,58,16.0934,8.0467,0,1033.86446,1028.446238,1023.028016,0
22,2017/12/23,21.97130435,3.8892,0,-3.3336,0,-2.2224,-5.0004,100,75,50,27.35878,16.89807,6.43736,1026.075766,1024.043933,1022.0121,0
23,2017/12/24,11.6473913,8.8896,4.4448,0,5.0004,1.6668,-2.778,93,77,61,38.62416,22.53076,6.43736,1025.398488,1022.689377,1019.980266,0
24,2017/12/25,58.87136364,12.2232,5.0004,-2.2224,3.8892,0.5556,-2.778,100,71,42,11.26538,5.63269,0,1028.446238,1026.245085,1024.043933,0
25,2017/12/26,94.75277778,7.7784,1.6668,-4.4448,2.778,-1.1112,-6.1116,100,77.5,55,8.0467,4.02335,0,1027.091683,1021.673461,1016.255239,0
26,2017/12/27,63.6,10.5564,3.3336,-4.4448,3.8892,-0.5556,-3.8892,100,77,54,22.53076,11.26538,0,1018.96435,1013.03817,1007.111989,0
27,2017/12/28,37.30086957,11.6676,6.6672,1.1112,6.1116,2.778,-0.5556,87,70,53,33.79614,16.89807,0,1009.482462,1004.233559,998.9846567,0.254
28,2017/12/29,20.08545455,8.8896,4.4448,0.5556,7.7784,3.3336,-1.1112,100,82,64,27.35878,13.67939,0,1011.852934,1006.434712,1001.01649,3.048
29,2017/12/30,19.20478261,5.556,2.2224,-1.1112,1.1112,-2.778,-5.0004,93,68.5,44,27.35878,16.89807,6.43736,1019.641628,1014.900683,1010.159739,0
30,2017/12/31,127.2504348,5.0004,-1.1112,-6.6672,-1.6668,-3.8892,-7.2228,100,69,38,9.65604,4.82802,0,1024.043933,1020.996183,1017.948433,0
31,2018/1/01,235.296087,8.334,2.2224,-4.4448,2.2224,-1.6668,-6.1116,100,73,46,9.65604,4.82802,0,1021.673461,1016.424558,1011.175656,0
32,2018/1/02,103.32,8.8896,3.8892,-1.1112,6.1116,1.6668,-1.6668,100,87,74,25.74944,12.87472,0,1012.86885,1009.482462,1006.096073,2.032
33,2018/1/03,18.96565217,5.556,2.778,-1.1112,2.2224,0,-2.778,93,71,49,27.35878,13.67939,0,1013.884767,1009.99042,1006.096073,0
34,2018/1/04,34.03347826,5.0004,1.1112,-2.2224,2.778,1.1112,-2.2224,100,81.5,63,22.53076,11.26538,0,1012.86885,1008.974503,1005.080156,0.254
35,2018/1/05,108.7230435,5.556,0,-5.0004,2.2224,-1.6668,-5.0004,100,70.5,41,9.65604,4.82802,0,1018.287072,1014.223406,1010.159739,0
36,2018/1/06,160.8356522,10.0008,3.3336,-3.3336,5.0004,-0.5556,-3.8892,100,75,50,9.65604,4.82802,0,1023.028016,1020.149586,1017.271155,0
37,2018/1/07,127.1126087,10.5564,4.4448,-2.2224,5.0004,0,-6.6672,100,68,36,9.65604,4.82802,0,1030.478071,1025.737127,1020.996183,0
38,2018/1/08,222.2079167,5.556,2.2224,-1.1112,3.8892,0.5556,-3.8892,100,86.5,73,11.26538,5.63269,0,1033.525821,1031.324668,1029.123516,0
39,2018/1/09,228.395,10.5564,4.4448,-1.6668,5.0004,1.6668,-2.778,100,81,62,40.2335,20.11675,0,1033.525821,1031.832627,1030.139432,0
40,2018/1/10,13.3625,6.1116,3.8892,1.6668,5.0004,3.3336,0,100,84.5,69,27.35878,13.67939,0,1029.800794,1022.520058,1015.239322,0
41,2018/1/11,49.67347826,7.7784,4.4448,0.5556,6.1116,3.3336,1.6668,100,85,70,11.26538,5.63269,0,1015.577961,1012.86885,1010.159739,0
42,2018/1/12,25.46956522,7.7784,5.556,2.778,5.0004,3.3336,0.5556,100,80,60,16.0934,8.0467,0,1023.366655,1018.79503,1014.223406,0.254
43,2018/1/13,11.26956522,1.1112,-0.5556,-2.2224,3.8892,0,-3.8892,100,87.5,75,22.53076,12.87472,3.21868,1027.76896,1024.89053,1022.0121,0.254
44,2018/1/14,12.02217391,-1.1112,-2.2224,-3.3336,0,-3.3336,-5.0004,100,85.5,71,32.1868,17.70274,3.21868,1030.478071,1027.261002,1024.043933,0
45,2018/1/15,20.97473684,0,-2.2224,-4.4448,-2.778,-4.4448,-6.1116,100,82,64,35.40548,17.70274,0,1030.81671,1025.906447,1020.996183,0.762
46,2018/1/16,65.55391304,4.4448,0.5556,-3.3336,1.1112,-2.2224,-5.0004,100,80,60,27.35878,13.67939,0,1023.028016,1015.577961,1008.127906,0
47,2018/1/17,13.4273913,13.3344,6.1116,-1.1112,3.8892,1.1112,-1.1112,100,73.5,47,38.62416,22.53076,6.43736,1008.805184,999.492615,990.1800461,6.096
48,2018/1/18,10.41434783,3.8892,1.1112,-3.3336,1.1112,-4.4448,-7.2228,99,69,39,49.88954,26.55411,3.21868,1016.932517,1006.604031,996.2755457,0
49,2018/1/19,60.55090909,8.334,1.6668,-5.0004,1.6668,-5.0004,-7.7784,91,58.5,26,14.48406,8.0467,1.60934,1016.593878,1013.884767,1011.175656,0
50,2018/1/20,82.51043478,4.4448,2.2224,-0.5556,2.2224,-0.5556,-4.4448,100,74,48,22.53076,11.26538,0,1014.562045,1011.852934,1009.143823,4.064
51,2018/1/21,21.72347826,2.778,0,-2.778,2.2224,-1.1112,-3.8892,100,82,64,33.79614,16.89807,0,1014.562045,1008.297226,1002.032406,3.048
52,2018/1/22,19.79347826,0.5556,-1.1112,-2.2224,0,-2.2224,-3.8892,100,87,74,25.74944,16.0934,6.43736,1017.948433,1010.498378,1003.048323,0
53,2018/1/23,45.69666667,1.1112,-3.3336,-8.334,-1.6668,-4.4448,-8.8896,100,82.5,65,16.0934,8.0467,0,1029.462155,1022.350738,1015.239322,0
54,2018/1/24,39.52478261,0.5556,-4.4448,-10.0008,-2.778,-5.556,-10.0008,100,79,58,14.48406,7.24203,0,1038.605404,1032.848543,1027.091683,0
55,2018/1/25,123.1105263,-1.1112,-7.7784,-14.4456,-3.8892,-8.8896,-15.0012,100,78,56,9.65604,4.82802,0,1037.928126,1032.001946,1026.075766,0
56,2018/1/26,235.7365217,1.6668,-4.4448,-11.112,-5.0004,-8.334,-12.7788,100,76,52,9.65604,4.82802,0,1032.171266,1028.615558,1025.059849,0
57,2018/1/27,252.1195652,3.3336,-4.4448,-12.2232,-2.2224,-6.6672,-12.7788,100,73.5,47,8.0467,4.02335,0,1035.219015,1031.663307,1028.107599,0
58,2018/1/28,264.9743478,5.556,-2.2224,-9.4452,-0.5556,-5.0004,-11.112,100,76.5,53,12.87472,6.43736,0,1037.589487,1034.372418,1031.155349,0
59,2018/1/29,38.70181818,12.2232,3.8892,-4.4448,2.2224,-1.6668,-3.8892,100,63,26,24.1401,12.07005,0,1034.203099,1030.139432,1026.075766,0
60,2018/1/30,34.78071429,12.7788,5.556,-2.2224,3.8892,0,-2.778,100,65,30,37.01482,18.50741,0,1028.446238,1025.737127,1023.028016,0
61,2018/1/31,51.84652174,10.5564,4.4448,-2.2224,2.2224,-0.5556,-4.4448,100,67.5,35,14.48406,7.24203,0,1029.462155,1024.213252,1018.96435,0
62,2018/2/01,60.56521739,10.5564,4.4448,-2.2224,3.8892,0,-3.8892,100,68.5,37,14.48406,7.24203,0,1020.996183,1017.101836,1013.207489,0
63,2018/2/02,35.64045455,13.89,7.7784,1.6668,5.0004,2.778,0,93,61.5,30,20.92142,10.46071,0,1015.577961,1013.376809,1011.175656,0
64,2018/2/03,16.55391304,17.7792,13.3344,8.334,7.2228,4.4448,2.2224,71,51,31,45.06152,24.1401,3.21868,1012.86885,1006.265392,999.6619344,0
65,2018/2/04,11.6026087,8.8896,5.556,1.6668,7.7784,4.4448,-2.2224,100,73,46,28.96812,15.28873,1.60934,1018.625711,1010.498378,1002.371045,0.508
66,2018/2/05,23.589,7.2228,3.3336,-1.1112,0,-3.3336,-10.0008,86,51,16,19.31208,9.65604,0,1024.382572,1021.165502,1017.948433,0
67,2018/2/06,36.69333333,7.7784,2.2224,-2.778,2.2224,-1.1112,-5.556,100,71,42,28.96812,14.48406,0,1023.705294,1021.334822,1018.96435,0
68,2018/2/07,28.90454545,5.556,2.778,0,3.8892,1.1112,-1.6668,100,79.5,59,37.01482,21.72609,6.43736,1023.366655,1018.287072,1013.207489,1.016
69,2018/2/08,44.7273913,10.0008,5.556,1.6668,7.2228,3.8892,1.1112,100,85.5,71,22.53076,11.26538,0,1015.239322,1012.699531,1010.159739,0.508
70,2018/2/09,31.39173913,10.0008,5.0004,-1.1112,5.0004,1.1112,-2.2224,100,73.5,47,25.74944,12.87472,0,1017.609794,1015.408642,1013.207489,0
71,2018/2/10,51.88347826,6.6672,2.2224,-1.6668,3.8892,0.5556,-2.2224,100,83,66,20.92142,10.46071,0,1016.593878,1010.837017,1005.080156,3.048
72,2018/2/11,11.81208333,1.1112,0,-1.1112,1.1112,-0.5556,-2.2224,100,89,78,14.48406,7.24203,0,1011.175656,1007.111989,1003.048323,0.254
73,2018/2/12,31.42541667,5.0004,2.2224,-1.1112,2.2224,-0.5556,-3.8892,100,76.5,53,12.87472,6.43736,0,1014.562045,1011.344975,1008.127906,0
74,2018/2/13,48.48375,3.8892,0,-3.3336,3.8892,0,-2.778,100,87.5,75,33.79614,16.89807,0,1016.255239,1011.175656,1006.096073,0.254
75,2018/2/14,15.07375,3.8892,1.1112,-2.2224,6.1116,0,-3.8892,100,78.5,57,35.40548,17.70274,0,1016.593878,1009.8211,1003.048323,2.032
76,2018/2/15,23.25,3.8892,0,-3.8892,-0.5556,-3.8892,-6.1116,100,78,56,19.31208,9.65604,0,1025.059849,1019.641628,1014.223406,0
77,2018/2/16,51.90916667,8.8896,3.3336,-2.778,2.2224,-1.6668,-3.8892,100,74.5,49,12.87472,6.43736,0,1027.430321,1024.721211,1022.0121,0
78,2018/2/17,69.21,9.4452,3.3336,-3.3336,2.778,0,-2.778,100,69.5,39,28.96812,14.48406,0,1028.784877,1024.89053,1020.996183,0
79,2018/2/18,62.43333333,8.8896,4.4448,-0.5556,5.0004,2.2224,-1.1112,100,78,56,32.1868,16.0934,0,1023.366655,1020.318905,1017.271155,1.016
80,2018/2/19,15.2225,3.8892,2.2224,0,5.0004,2.2224,0,100,92.5,85,27.35878,13.67939,0,1021.673461,1019.472308,1017.271155,3.048
81,2018/2/20,10.42958333,5.556,2.778,0,2.778,1.1112,-1.6668,100,83.5,67,33.79614,20.11675,6.43736,1018.625711,1015.408642,1012.191572,0.254
82,2018/2/21,11.34208333,5.556,2.778,0,5.0004,2.2224,-0.5556,100,86.5,73,35.40548,20.92142,6.43736,1014.223406,1012.191572,1010.159739,0
83,2018/2/22,10.64541667,6.6672,4.4448,1.6668,5.0004,2.2224,0,100,78,56,27.35878,15.28873,3.21868,1015.9166,1013.03817,1010.159739,0
84,2018/2/23,11.42458333,7.7784,4.4448,1.1112,3.8892,1.6668,-0.5556,100,82,64,33.79614,18.50741,3.21868,1016.255239,1014.731364,1013.207489,0
85,2018/2/24,19.7775,5.0004,2.2224,0,2.2224,1.1112,-2.2224,100,82.5,65,25.74944,12.87472,0,1015.577961,1011.852934,1008.127906,0.508
86,2018/2/25,25.51125,-1.1112,-3.3336,-5.0004,-2.2224,-4.4448,-7.2228,100,84.5,69,27.35878,15.28873,3.21868,1016.932517,1014.054086,1011.175656,3.048
87,2018/2/26,17.34666667,-6.1116,-8.8896,-11.112,-3.8892,-8.334,-12.2232,100,90,80,24.1401,13.67939,3.21868,1015.577961,1010.329059,1005.080156,4.064
88,2018/2/27,34.55458333,0,-5.556,-10.5564,-3.3336,-8.334,-12.2232,100,80,60,38.62416,19.31208,0,1009.8211,1006.434712,1003.048323,0.254
89,2018/2/28,33.38333333,-3.8892,-6.6672,-11.112,-6.1116,-10.5564,-15.0012,100,77,54,40.2335,21.72609,3.21868,1025.737127,1014.900683,1004.06424,0
90,2018/3/01,60.08708333,10.5564,4.4448,-2.2224,3.8892,0,-3.8892,100,68.5,37,14.48406,7.24203,0,1020.996183,1017.101836,1013.207489,0
91,2018/3/02,69.64208333,13.89,7.7784,1.6668,5.0004,2.778,0,93,61.5,30,20.92142,10.46071,0,1015.577961,1013.376809,1011.175656,0
92,2018/3/03,16.43375,17.7792,13.3344,8.334,7.2228,4.4448,2.2224,71,51,31,45.06152,24.1401,3.21868,1012.86885,1006.265392,999.6619344,0
93,2018/3/04,23.66416667,8.8896,5.556,1.6668,7.7784,4.4448,-2.2224,100,73,46,28.96812,15.28873,1.60934,1018.625711,1010.498378,1002.371045,0.508
94,2018/3/05,20.50416667,7.2228,3.3336,-1.1112,0,-3.3336,-10.0008,86,51,16,19.31208,9.65604,0,1024.382572,1021.165502,1017.948433,0
95,2018/3/06,22.74416667,7.7784,2.2224,-2.778,2.2224,-1.1112,-5.556,100,71,42,28.96812,14.48406,0,1023.705294,1021.334822,1018.96435,0
96,2018/3/07,19.33291667,5.556,2.778,0,3.8892,1.1112,-1.6668,100,79.5,59,37.01482,21.72609,6.43736,1023.366655,1018.287072,1013.207489,1.016
97,2018/3/08,36.27291667,10.0008,5.556,1.6668,7.2228,3.8892,1.1112,100,85.5,71,22.53076,11.26538,0,1015.239322,1012.699531,1010.159739,0.508
98,2018/3/09,16.05958333,10.0008,5.0004,-1.1112,5.0004,1.1112,-2.2224,100,73.5,47,25.74944,12.87472,0,1017.609794,1015.408642,1013.207489,0
99,2018/3/10,64.74,6.6672,2.2224,-1.6668,3.8892,0.5556,-2.2224,100,83,66,20.92142,10.46071,0,1016.593878,1010.837017,1005.080156,3.048
100,2018/3/11,56.6975,1.1112,0,-1.1112,1.1112,-0.5556,-2.2224,100,89,78,14.48406,7.24203,0,1011.175656,1007.111989,1003.048323,0.254
101,2018/3/12,46.30125,5.0004,2.2224,-1.1112,2.2224,-0.5556,-3.8892,100,76.5,53,12.87472,6.43736,0,1014.562045,1011.344975,1008.127906,0
102,2018/3/13,12.4675,3.8892,0,-3.3336,3.8892,0,-2.778,100,87.5,75,33.79614,16.89807,0,1016.255239,1011.175656,1006.096073,0.254
103,2018/3/14,14.02,3.8892,1.1112,-2.2224,6.1116,0,-3.8892,100,78.5,57,35.40548,17.70274,0,1016.593878,1009.8211,1003.048323,2.032
104,2018/3/15,21.79291667,3.8892,0,-3.8892,-0.5556,-3.8892,-6.1116,100,78,56,19.31208,9.65604,0,1025.059849,1019.641628,1014.223406,0
105,2018/3/16,46.68916667,8.8896,3.3336,-2.778,2.2224,-1.6668,-3.8892,100,74.5,49,12.87472,6.43736,0,1027.430321,1024.721211,1022.0121,0
106,2018/3/17,25.89083333,9.4452,3.3336,-3.3336,2.778,0,-2.778,100,69.5,39,28.96812,14.48406,0,1028.784877,1024.89053,1020.996183,0
107,2018/3/18,91.82916667,8.8896,4.4448,-0.5556,5.0004,2.2224,-1.1112,100,78,56,32.1868,16.0934,0,1023.366655,1020.318905,1017.271155,1.016
108,2018/3/19,12.30041667,3.8892,2.2224,0,5.0004,2.2224,0,100,92.5,85,27.35878,13.67939,0,1021.673461,1019.472308,1017.271155,3.048
109,2018/3/20,18.40625,5.556,2.778,0,2.778,1.1112,-1.6668,100,83.5,67,33.79614,20.11675,6.43736,1018.625711,1015.408642,1012.191572,0.254
110,2018/3/21,36.42916667,5.556,2.778,0,5.0004,2.2224,-0.5556,100,86.5,73,35.40548,20.92142,6.43736,1014.223406,1012.191572,1010.159739,0
111,2018/3/22,17.38333333,6.6672,4.4448,1.6668,5.0004,2.2224,0,100,78,56,27.35878,15.28873,3.21868,1015.9166,1013.03817,1010.159739,0
112,2018/3/23,13.85458333,7.7784,4.4448,1.1112,3.8892,1.6668,-0.5556,100,82,64,33.79614,18.50741,3.21868,1016.255239,1014.731364,1013.207489,0
113,2018/3/24,18.74833333,5.0004,2.2224,0,2.2224,1.1112,-2.2224,100,82.5,65,25.74944,12.87472,0,1015.577961,1011.852934,1008.127906,0.508
114,2018/3/25,16.92913043,-1.1112,-3.3336,-5.0004,-2.2224,-4.4448,-7.2228,100,84.5,69,27.35878,15.28873,3.21868,1016.932517,1014.054086,1011.175656,3.048
115,2018/3/26,14.05208333,-6.1116,-8.8896,-11.112,-3.8892,-8.334,-12.2232,100,90,80,24.1401,13.67939,3.21868,1015.577961,1010.329059,1005.080156,4.064
116,2018/3/27,27.38125,0,-5.556,-10.5564,-3.3336,-8.334,-12.2232,100,80,60,38.62416,19.31208,0,1009.8211,1006.434712,1003.048323,0.254
117,2018/3/28,25.68333333,-3.8892,-6.6672,-11.112,-6.1116,-10.5564,-15.0012,100,77,54,40.2335,21.72609,3.21868,1025.737127,1014.900683,1004.06424,0
118,2018/3/29,42.09583333,0.9723,-2.2224,-6.8061,-2.3613,-6.945,-11.6676,98.5,71.5,44.5,39.831165,21.9272575,4.02335,1021.334822,1011.895263,1002.455705,1.27
119,2018/3/30,37.03666667,5.8338,2.2224,-2.5002,1.389,-3.3336,-8.334,97,66,35,39.42883,22.128425,4.82802,1016.932517,1008.889844,1000.847171,2.54
120,2018/3/31,32.17416667,10.6953,6.6672,1.8057,5.1393,0.2778,-5.0004,95.5,60.5,25.5,39.026495,22.3295925,5.63269,1012.530211,1005.884424,999.2386359,3.81
121,2018/4/01,10.00791667,15.5568,11.112,6.1116,8.8896,3.8892,-1.6668,94,55,16,38.62416,22.53076,6.43736,1008.127906,1002.879004,997.6301012,5.08
122,2018/4/02,9.86875,13.89,7.7784,1.1112,6.1116,2.2224,-1.1112,100,63.5,27,27.35878,14.48406,1.60934,1018.96435,1013.546128,1008.127906,0
123,2018/4/03,30.52791667,20.5572,10.0008,0,6.1116,1.6668,-1.6668,100,61.5,23,25.74944,12.87472,0,1023.705294,1020.488225,1017.271155,0
124,2018/4/04,35.05666667,23.8908,13.3344,3.3336,7.2228,4.4448,1.6668,100,60.5,21,24.1401,12.07005,0,1022.350738,1017.609794,1012.86885,0
125,2018/4/05,56.80083333,22.7796,15.5568,8.334,12.7788,7.7784,1.1112,94,62.5,31,24.1401,12.07005,0,1017.271155,1012.86885,1008.466545,0.254
126,2018/4/06,17.83916667,13.89,11.112,8.334,13.89,11.6676,7.7784,100,86,72,25.74944,14.48406,3.21868,1017.948433,1014.223406,1010.498378,7.112
127,2018/4/07,11.31958333,17.7792,12.2232,7.2228,11.112,8.334,5.0004,100,74.5,49,22.53076,11.26538,0,1023.028016,1020.488225,1017.948433,0
128,2018/4/08,23.26166667,21.1128,13.3344,5.0004,8.8896,6.1116,3.3336,100,62,24,22.53076,11.26538,0,1023.366655,1019.980266,1016.593878,0
129,2018/4/09,20.07416667,23.8908,14.4456,5.556,7.7784,4.4448,0.5556,81,47.5,14,25.74944,13.67939,1.60934,1020.996183,1016.255239,1011.514295,0
130,2018/4/10,29.46375,23.3352,14.4456,6.1116,8.8896,5.0004,2.2224,76,48,20,24.1401,12.87472,1.60934,1015.577961,1012.360892,1009.143823,0
131,2018/4/11,42.4875,23.8908,16.668,10.0008,10.0008,7.7784,4.4448,94,58,22,22.53076,11.26538,0,1012.191572,1009.313142,1006.434712,0
132,2018/4/12,44.75958333,25.5576,15.5568,5.556,12.2232,8.334,5.0004,100,59.5,19,22.53076,11.26538,0,1013.207489,1010.159739,1007.111989,0
133,2018/4/13,44.26458333,25.5576,17.7792,10.0008,12.2232,10.0008,7.7784,100,65.5,31,25.74944,12.87472,0,1017.948433,1014.562045,1011.175656,0
134,2018/4/14,49.13333333,26.6688,17.7792,8.334,13.89,10.5564,5.0004,100,64,28,19.31208,9.65604,0,1022.0121,1019.302989,1016.593878,0.254
135,2018/4/15,29.67958333,20.5572,15.5568,10.5564,13.89,8.8896,3.8892,88,58,28,35.40548,19.31208,3.21868,1023.028016,1021.165502,1019.302989,0
136,2018/4/16,28.10166667,14.4456,12.2232,10.0008,11.112,3.8892,-1.1112,87,56,25,25.74944,12.87472,0,1020.996183,1019.133669,1017.271155,1.016
137,2018/4/17,33.36,20.0016,13.89,7.7784,12.2232,8.8896,6.1116,93,68.5,44,19.31208,9.65604,0,1020.996183,1018.456392,1015.9166,0.762
138,2018/4/18,25.79375,20.0016,12.7788,5.556,10.0008,8.334,5.556,100,68.5,37,20.92142,10.46071,0,1026.075766,1023.028016,1019.980266,0
139,2018/4/19,28.28875,22.224,14.4456,6.6672,11.112,8.8896,7.2228,100,68,36,24.1401,12.07005,0,1026.075766,1022.520058,1018.96435,0
140,2018/4/20,18.67416667,18.3348,14.4456,8.8896,8.8896,6.1116,2.778,76,51.5,27,24.1401,12.07005,0,1023.028016,1020.318905,1017.609794,0
141,2018/4/21,23.775,20.5572,12.2232,3.3336,6.6672,4.4448,2.2224,93,58.5,24,11.26538,5.63269,0,1024.043933,1020.826864,1017.609794,0
142,2018/4/22,24.76625,25.5576,14.4456,3.8892,7.7784,5.0004,2.778,87,54.5,22,19.31208,9.65604,0,1020.318905,1016.593878,1012.86885,0
143,2018/4/23,27.7975,26.6688,16.668,6.1116,10.0008,5.556,2.2224,87,53.5,20,16.0934,8.0467,0,1017.271155,1014.223406,1011.175656,0
144,2018/4/24,33.88875,27.78,17.7792,7.2228,12.2232,6.6672,2.778,87,51.5,16,19.31208,9.65604,0,1018.625711,1014.900683,1011.175656,6.096
